ID	User Story / Task Description	Priority	Estimation (Hours)	Sprint	Status	Acceptance Criteria (Given-When-Then)	Minh chứng hoàn thành (DoD)
US-011	Là PO/SM, tôi muốn chỉnh sửa một User Story để cập nhật nội dung	CAO	4	Sprint 2	CHƯA BẮT ĐẦU	Given mở form chỉnh sửa → When lưu → Then thông tin được cập nhật.	Ảnh chụp form chỉnh sửa + Test case
US-012	Là PO/SM, tôi muốn xóa User Story không còn phù hợp	TB	3	Sprint 2	CHƯA BẮT ĐẦU	Given xác nhận xóa → When thực hiện → Then User Story biến mất.	Ảnh chụp xác nhận xóa
US-013	Là PO/SM, tôi muốn gán Story Points cho User Story	CAO	4	Sprint 2	CHƯA BẮT ĐẦU	Given chọn points → When lưu → Then points hiển thị trên User Story.	Ảnh chụp gán points
US-014	Là PO/SM, tôi muốn gắn nhãn/tag cho User Story	TB	3	Sprint 2	CHƯA BẮT ĐẦU	Given chọn tag → When lưu → Then tag hiển thị trên User Story.	Ảnh chụp gắn tag
US-015	Là Scrum Master, tôi muốn xem danh sách Sprint đã tạo	CAO	3	Sprint 2	CHƯA BẮT ĐẦU	Given truy cập Sprint → When load → Then hiển thị danh sách tên, ngày bắt đầu/kết thúc.	Ảnh chụp danh sách Sprint
US-016	Là Scrum Master, tôi muốn tạo Sprint mới với tên, mục tiêu, ngày bắt đầu và kết thúc	CAO	6	Sprint 2	CHƯA BẮT ĐẦU	Given nhập form hợp lệ → When tạo → Then Sprint mới xuất hiện.	Video demo tạo Sprint
US-017	Là Scrum Master, tôi muốn xem chi tiết Sprint để biết mục tiêu và các User Story được chọn	CAO	3	Sprint 2	CHƯA BẮT ĐẦU	Given click vào Sprint → When mở → Then hiển thị mục tiêu và danh sách Stories.	Ảnh chụp chi tiết Sprint
US-018	Là Scrum Master, tôi muốn thêm User Story từ backlog vào Sprint	CAO	6	Sprint 2	CHƯA BẮT ĐẦU	Given chọn Stories → When thêm → Then Stories chuyển sang Sprint Backlog.	Ảnh chụp chọn Stories vào Sprint
US-019	Là thành viên nhóm, tôi muốn xem Task Board theo từng Sprint	CAO	4	Sprint 3	CHƯA BẮT ĐẦU	Given chọn Sprint → When load → Then hiển thị các cột To Do/In Progress/Done.	Ảnh chụp Task Board
US-020	Là thành viên nhóm, tôi muốn tạo task cho một User Story	CAO	6	Sprint 3	CHƯA BẮT ĐẦU	Given chọn User Story → When tạo task → Then task mới xuất hiện.	Ảnh chụp tạo task
US-021	Là thành viên nhóm, tôi muốn cập nhật trạng thái task bằng kéo-thả	CAO	8	Sprint 3	CHƯA BẮT ĐẦU	Given kéo task → When thả → Then trạng thái thay đổi ngay lập tức.	Video demo kéo-thả (30s)
US-022	Là thành viên nhóm, tôi muốn ghi Daily Stand-up theo 3 câu hỏi	CAO	6	Sprint 3	CHƯA BẮT ĐẦU	Given trả lời 3 câu hỏi → When submit → Then log được lưu theo ngày.	Video demo ghi Daily Log
US-023	Là Product Owner, tôi muốn ghi nhận kết quả Sprint Review (demo + feedback)	TB	8	Sprint 4	CHƯA BẮT ĐẦU	Given Sprint kết thúc → When PO đánh giá → Then phản hồi được lưu.	Form đánh giá Sprint Review + Video demo
US-024	Là nhóm phát triển, tôi muốn tạo Sprint Retrospective	TB	6	Sprint 4	CHƯA BẮT ĐẦU	Given điền form → When lưu → Then biên bản được lưu.	File tổng hợp Retrospective
US-025	Là Scrum Master/PO, tôi muốn xem Burndown Chart	TB	8	Sprint 4	CHƯA BẮT ĐẦU	Given mở báo cáo → When load → Then Burndown Chart hiển thị.	Ảnh chụp Burndown Chart
US-026	Là Scrum Master/PO, tôi muốn xem Velocity Chart	TB	8	Sprint 4	CHƯA BẮT ĐẦU	Given mở báo cáo → When load → Then Velocity Chart hiển thị.	Ảnh chụp Velocity Chart
US-027	Là Scrum Master/PO, tôi muốn export báo cáo Sprint ra PDF/Excel	THẤP	8	Sprint 4	CHƯA BẮT ĐẦU	Given nhấn export → When chọn định dạng → Then file được tải về.	File báo cáo export mẫu
US-028	Phát triển tính năng Realtime update Task Board bằng Socket.io (bonus)	THẤP	10	Sprint 5	CHƯA BẮT ĐẦU	Given kéo task ở tab 1 → When thả → Then tab 2 cập nhật ngay lập tức.	Video demo realtime (2 tab)
US-029	Phát triển Notification in-app khi task thay đổi (bonus)	THẤP	10	Sprint 5	CHƯA BẮT ĐẦU	Given task thay đổi → When cập nhật → Then thông báo in-app xuất hiện.	Video demo notification
US-030	Hoàn thiện giao diện responsive và dark mode (bonus)	THẤP	10	Sprint 5	CHƯA BẮT ĐẦU	Given mở trên mobile → When chuyển dark mode → Then giao diện tự điều chỉnh.	Ảnh chụp responsive + dark mode
US-031	Deploy frontend Vercel + backend Render/Railway	CAO	8	Sprint 5	CHƯA BẮT ĐẦU	Given deploy → When thành công → Then website chạy thực tế.	Link website + Screenshot deploy
US-032	Viết báo cáo SRS + UML (Use-case, ERD, Sequence)	CAO	25	Sprint 5	CHƯA BẮT ĐẦU	Given hoàn thành UML → When export → Then file đầy đủ.	File SRS + UML
US-033	Hoàn thiện báo cáo đồ án theo mẫu của khoa	CAO	20	Tuần cuối	CHƯA BẮT ĐẦU	Given hoàn thiện nội dung → When export → Then file hoàn chỉnh.	File báo cáo hoàn chỉnh
US-034	Gửi GVHD sửa/duyệt trước khi nộp	CAO	8	Tuần cuối	CHƯA BẮT ĐẦU	Given gửi file → When GVHD duyệt → Then có ghi chú góp ý.	Email/Ghi chú góp ý của GVHD
US-035	Chuẩn bị video demo + slide trình bày đồ án	CAO	12	Tuần cuối	CHƯA BẮT ĐẦU	Given hoàn thành → When export → Then video 5-7 phút + slide.	Video demo (5-7 phút) + File slide
US-036	Là quản trị viên/PO, tôi muốn tạo Project mới để quản lý backlog và sprint của dự án	CAO	8	Sprint 1	CHƯA BẮT ĐẦU	Given nhập tên và mô tả Project → When tạo → Then Project mới xuất hiện và có thể chọn làm việc.	Ảnh chụp form tạo Project + Video demo tạo (20s)
US-037	Là quản trị viên/PO, tôi muốn chỉnh sửa thông tin Project để cập nhật mục tiêu hoặc mô tả	CAO	5	Sprint 1	CHƯA BẮT ĐẦU	Given mở Project → When chỉnh sửa tên/mô tả → Then thông tin được cập nhật.	Ảnh chụp form chỉnh sửa Project
US-038	Là quản trị viên/PO, tôi muốn xóa Project khi dự án kết thúc hoặc không còn sử dụng	TB	4	Sprint 5	CHƯA BẮT ĐẦU	Given xác nhận xóa → When thực hiện → Then Project và toàn bộ dữ liệu liên quan bị xóa.	Ảnh chụp xác nhận xóa Project
US-039	Là quản trị viên/PO, tôi muốn thêm thành viên vào Project để họ tham gia làm việc	CAO	6	Sprint 1	CHƯA BẮT ĐẦU	Given nhập email thành viên → When gửi lời mời → Then thành viên nhận được và có thể join.	Ảnh chụp form thêm thành viên + Test case mời thành công
US-040	Là quản trị viên/PO, tôi muốn gán vai trò cho thành viên trong Project để phân quyền phù hợp	CAO	5	Sprint 1	CHƯA BẮT ĐẦU	Given chọn vai trò (PO/SM/Member) → When lưu → Then quyền truy cập được cập nhật.	Ảnh chụp gán vai trò + Test case role-based
US-041	Là quản trị viên/PO, tôi muốn xóa thành viên khỏi Project khi họ không còn tham gia	TB	4	Sprint 5	CHƯA BẮT ĐẦU	Given chọn thành viên → When xóa → Then thành viên mất quyền truy cập Project.	Ảnh chụp xác nhận xóa thành viên
US-042	Là thành viên nhóm, tôi muốn gán (assign) task cho một người phụ trách để rõ trách nhiệm	CAO	5	Sprint 3	CHƯA BẮT ĐẦU	Given chọn task → When assign cho thành viên → Then người được gán nhận thông báo.	Ảnh chụp assign task + Test case
US-043	Là thành viên nhóm, tôi muốn thay đổi người phụ trách task khi cần phân công lại	CAO	4	Sprint 3	CHƯA BẮT ĐẦU	Given thay đổi assignee → When lưu → Then người mới nhận thông báo.	Ảnh chụp thay đổi assignee
US-044	Là thành viên nhóm, tôi muốn đặt deadline cho task để quản lý tiến độ	CAO	5	Sprint 3	CHƯA BẮT ĐẦU	Given chọn ngày deadline → When lưu → Then deadline hiển thị trên task.	Ảnh chụp task có deadline
US-045	Là thành viên nhóm, tôi muốn bình luận (comment) trong User Story để thảo luận chi tiết	CAO	6	Sprint 3	CHƯA BẮT ĐẦU	Given nhập comment → When gửi → Then comment hiển thị công khai cho mọi người trong Project.	Ảnh chụp comment trong User Story
US-046	Là thành viên nhóm, tôi muốn bình luận trong Task để trao đổi về quá trình thực hiện	CAO	5	Sprint 3	CHƯA BẮT ĐẦU	Given nhập comment trong Task → When gửi → Then comment hiển thị.	Ảnh chụp comment trong Task
US-047	Là thành viên nhóm, tôi muốn tải lên file/attachment cho User Story hoặc Task	CAO	6	Sprint 3	CHƯA BẮT ĐẦU	Given chọn file → When upload → Then file được lưu và hiển thị cho mọi người.	Ảnh chụp attachment + Test case upload
US-048	Là PO/SM, tôi muốn cập nhật trạng thái của User Story (To Do / In Progress / Done / Rejected)	CAO	5	Sprint 2	CHƯA BẮT ĐẦU	Given chọn trạng thái mới → When lưu → Then trạng thái được cập nhật và hiển thị.	Ảnh chụp thay đổi trạng thái User Story
US-049	Là Scrum Master, tôi muốn bắt đầu Sprint (Start Sprint) để chính thức triển khai	CAO	4	Sprint 2	CHƯA BẮT ĐẦU	Given chọn Sprint → When nhấn Start → Then Sprint chuyển trạng thái “Active”.	Ảnh chụp nút Start Sprint
US-050	Là Scrum Master, tôi muốn kết thúc Sprint (Close Sprint) để tổng kết kết quả	CAO	5	Sprint 4	CHƯA BẮT ĐẦU	Given Sprint đã hoàn thành → When nhấn Close → Then Sprint chuyển trạng thái “Closed” và chuyển task còn lại về Backlog.	Ảnh chụp nút Close Sprint + Test case
